,Unnamed: 0_level_0,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,Unnamed: 0_level_1,Spol - SKUPAJ,Spol - SKUPAJ,Spol - SKUPAJ,Spol - SKUPAJ,Spol - SKUPAJ,Spol - SKUPAJ,Spol - SKUPAJ,Spol - SKUPAJ,Spol - SKUPAJ,Spol - SKUPAJ,Spol - SKUPAJ,Spol - SKUPAJ,Spol - SKUPAJ,Spol - SKUPAJ,Spol - SKUPAJ,Spol - SKUPAJ,Spol - SKUPAJ,Spol - SKUPAJ
,Unnamed: 0_level_2,Starost - SKUPAJ,Starost - SKUPAJ,Starost - SKUPAJ,Starost - SKUPAJ,Starost - SKUPAJ,Starost - SKUPAJ,Starost - SKUPAJ,Starost - SKUPAJ,Starost - SKUPAJ,Starost - SKUPAJ,Starost - SKUPAJ,Starost - SKUPAJ,Starost - SKUPAJ,Starost - SKUPAJ,Starost - SKUPAJ,Starost - SKUPAJ,Starost - SKUPAJ,Starost - SKUPAJ
0,SLOVENIJA,,,,,,,,,,,,,,,,,,
1,Delovno aktivno prebivalstvo - SKUPAJ,813.529,833.003,864.351,880.205,844.655,818.975,817.311,792.948,791.323,799.958,803.644,824.485,856.201,887.17,901.537,891.227,916.765,935.344
2,Pomurska,,,,,,,,,,,,,,,,,,
3,Delovno aktivno prebivalstvo - SKUPAJ,45.281,46.386,47.571,47.805,43.449,42.985,43.479,40.985,40.135,39.596,39.171,39.57,40.667,41.788,41.833,41.922,43.001,43.756
4,Podravska,,,,,,,,,,,,,,,,,,
5,Delovno aktivno prebivalstvo - SKUPAJ,122.161,126.164,131.573,134.064,126.657,122.562,121.73,117.42,117.818,118.918,119.012,120.48,124.562,129.688,132.559,130.793,134.763,138.442
6,Koroka,,,,,,,,,,,,,,,,,,
7,Delovno aktivno prebivalstvo - SKUPAJ,29.453,29.793,30.606,30.708,28.809,27.56,28.014,27.356,26.977,27.151,26.723,27.171,27.923,28.633,28.605,28.697,29.067,29.525
8,Savinjska,,,,,,,,,,,,,,,,,,
9,Delovno aktivno prebivalstvo - SKUPAJ,104.691,107.39,112.38,113.863,108.563,104.424,104.937,102.179,102.424,102.473,100.066,102.769,107.302,111.597,113.24,112.179,116.249,119.014
10,Zasavska,,,,,,,,,,,,,,,,,,
11,Delovno aktivno prebivalstvo - SKUPAJ,17.629,17.991,18.492,18.658,17.472,16.892,16.607,16.045,15.8,15.851,22.009,22.412,23.362,24.106,24.371,23.728,24.23,25.041
12,Posavska,,,,,,,,,,,,,,,,,,
13,Delovno aktivno prebivalstvo - SKUPAJ,27.315,27.903,29.247,30.263,29.017,27.932,27.982,27.086,27.139,27.321,29.431,29.949,31.227,32.396,32.789,32.081,33.11,33.619
14,Jugovzhodna Slovenija,,,,,,,,,,,,,,,,,,
15,Delovno aktivno prebivalstvo - SKUPAJ,57.882,59.454,61.814,62.846,60.336,58.735,58.377,56.604,56.533,57.609,57.305,59.107,62.108,64.401,64.807,63.719,65.39,66.239
16,Osrednjeslovenska,,,,,,,,,,,,,,,,,,
17,Delovno aktivno prebivalstvo - SKUPAJ,212.897,217.408,225.218,231.056,227.045,220.475,220.25,215.218,215.032,218.906,216.473,224.104,233.002,242.106,248.307,243.975,249.946,255.933
18,Gorenjska,,,,,,,,,,,,,,,,,,
19,Delovno aktivno prebivalstvo - SKUPAJ,81.424,83.04,85.56,86.528,83.922,81.641,81.627,80.037,80.128,81.361,82.18,84.531,87.647,90.22,91.211,91.836,95.003,95.5
20,Primorsko-notranjska,,,,,,,,,,,,,,,,,,
21,Delovno aktivno prebivalstvo - SKUPAJ,21.854,22.457,23.433,23.819,22.9,22.154,21.823,21.21,21.12,21.434,21.387,21.809,22.359,23.2,23.618,23.277,24.131,24.844
22,Gorika,,,,,,,,,,,,,,,,,,
23,Delovno aktivno prebivalstvo - SKUPAJ,48.788,49.742,51.383,52.021,48.959,47.442,46.746,45.026,44.927,45.516,45.436,46.733,48.293,49.802,50.235,49.862,51.181,51.987
24,Obalno-kraka,,,,,,,,,,,,,,,,,,
25,Delovno aktivno prebivalstvo - SKUPAJ,44.154,45.275,47.074,48.574,47.526,46.173,45.739,43.782,43.29,43.822,44.451,45.85,47.749,49.233,49.962,49.158,50.694,51.444
