OBÈINE;2002 Komunalni odpadki, zbrani z javnim odvozom (tone);2003 Komunalni odpadki, zbrani z javnim odvozom (tone);2004 Komunalni odpadki, zbrani z javnim odvozom (tone);2005 Komunalni odpadki, zbrani z javnim odvozom (tone);2006 Komunalni odpadki, zbrani z javnim odvozom (tone);2007 Komunalni odpadki, zbrani z javnim odvozom (tone);2008 Komunalni odpadki, zbrani z javnim odvozom (tone);2009 Komunalni odpadki, zbrani z javnim odvozom (tone);2010 Komunalni odpadki, zbrani z javnim odvozom (tone);2011 Komunalni odpadki, zbrani z javnim odvozom (tone);2012 Komunalni odpadki, zbrani z javnim odvozom (tone);2013 Komunalni odpadki, zbrani z javnim odvozom (tone);2014 Komunalni odpadki, zbrani z javnim odvozom (tone);2015 Komunalni odpadki, zbrani z javnim odvozom (tone);2016 Komunalni odpadki, zbrani z javnim odvozom (tone);2017 Komunalni odpadki, zbrani z javnim odvozom (tone);2018 Komunalni odpadki, zbrani z javnim odvozom (tone);2019 Komunalni odpadki, zbrani z javnim odvozom (tone);2020 Komunalni odpadki, zbrani z javnim odvozom (tone);2021 Komunalni odpadki, zbrani z javnim odvozom (tone)
SLOVENIJA;756846;785952;788601;797721;831578;846892;847451;825747;796413;721720;671835;659848;665767;650111;693655;699510;747535;749250;745782;769030
Ajdovšèina;7081;8372;8900;8539;10306;10362;8479;8411;8947;7405;6314;5587;5526;5974;5795;5479;6472;6680;7959;8559
Ankaran;-;-;-;-;-;-;-;-;-;-;-;-;-;1205;1471;1531;1309;1357;1436;1500
Apaèe;-;-;-;-;-;1307;937;1149;876;910;777;804;928;995;1019;1101;1141;1222;1340;1169
Beltinci;1331;1581;1533;1611;1640;1554;1610;2204;2176;1996;2186;2026;2064;2129;2246;2375;2655;2830;2887;3031
Benedikt;255;424;404;391;291;566;523;533;475;412;507;541;542;517;599;610;599;580;562;706
Bistrica ob Sotli;427;446;647;505;440;452;425;295;287;269;205;229;226;257;283;298;350;298;327;353
Bled;4725;4238;4444;4346;4502;3863;3385;3325;3390;3664;3606;3803;3794;3710;3670;3736;4279;4379;3514;3731
Bloke;842;1278;1055;1137;744;1372;1278;1138;885;375;340;333;371;371;369;239;254;259;363;468
Bohinj;1781;2021;2036;2324;2521;1900;2225;2238;1892;1759;1660;1716;1700;1839;1912;1964;2142;2163;2169;2248
Borovnica;1563;1193;1316;1891;1522;1398;1496;1483;1475;1434;1295;1232;1363;1341;1415;1422;1598;1668;1672;1675
Bovec;1464;1730;1893;2023;2065;2365;2105;1907;1791;1661;1477;1475;1427;1438;1473;1611;1659;1789;1694;1745
Braslovèe;1171;860;1946;1462;1361;1226;1690;1283;1921;1310;1281;1196;1185;1125;1258;1361;1408;1597;1636;1846
Brda;1746;1706;2010;2410;2386;2085;2165;2304;2309;2224;2183;2155;2086;1950;2225;2460;2587;2478;2698;2830
Brezovica;2375;2236;2253;3467;4236;4211;4196;4592;3470;3388;3091;2974;2984;3592;3291;3566;3839;3930;3882;3955
Brežice;5395;7937;8010;8445;8322;8906;9449;8716;8946;7437;5934;5982;6095;9064;6363;6289;6491;7052;7727;7394
Cankova;284;426;413;434;442;418;433;424;531;479;477;445;367;386;429;405;453;453;474;465
Celje;25507;31144;33543;34748;29091;31112;34936;25757;30949;25341;20866;20683;20321;20734;19918;20579;21624;22531;20770;19051
Cerklje na Gorenjskem;1985;4302;2738;3433;2947;3051;2690;3402;2092;2103;2076;1855;2593;2389;2614;2571;2776;2914;2908;2992
Cerknica;2863;3784;3625;4875;4264;4133;3926;3681;3357;2702;2614;2623;2889;2841;3306;3038;3371;3403;3571;3923
Cerkno;1087;1302;1444;1342;1466;1469;1562;1225;1186;1163;1154;1161;1149;1168;1238;1272;1369;1273;1210;1125
Cerkvenjak;630;632;508;427;412;575;517;526;406;363;395;424;472;438;500;503;493;453;420;580
Cirkulane;-;-;-;-;-;369;468;377;442;257;345;306;307;298;287;289;312;310;388;418
Èrenšovci;727;813;910;850;1061;841;1183;1641;1001;920;757;768;805;783;822;825;907;956;916;942
Èrna na Koroškem;1111;1121;1366;1276;1164;1305;1167;1158;1291;936;992;754;803;790;808;810;862;848;820;837
Èrnomelj;3300;4443;3955;2882;3055;4037;4528;4255;4502;4698;3679;3628;3335;3294;3475;3481;3777;3485;3807;3922
Destrnik;383;389;432;581;539;566;507;504;560;419;407;371;385;368;388;420;444;463;481;511
Divaèa;1404;1422;1557;1438;1279;1171;1205;1180;1216;1032;900;1205;1018;998;1161;1095;1124;1093;1352;1384
Dobje;68;96;260;515;117;128;149;106;197;155;112;108;198;168;169;198;212;238;241;291
Dobrepolje;1220;1494;1455;1544;1354;1195;1293;1362;1706;1266;1046;944;901;801;788;812;912;874;1104;971
Dobrna;918;825;1362;893;792;615;788;611;916;752;714;645;656;634;865;754;766;898;938;1018
Dobrova - Polhov Gradec;1668;1569;1605;2251;2754;2737;2859;2955;2177;2014;1612;1189;1290;1426;1285;1337;1416;1343;1596;1518
Dobrovnik;362;308;265;304;377;570;473;341;240;258;255;244;245;279;290;339;353;317;341;353
Dol pri Ljubljani;2539;2255;2376;1609;1971;1959;2203;2194;1701;1599;1380;1069;1076;1232;1127;1189;1290;1288;1449;1410
Dolenjske Toplice;896;840;965;970;975;1014;1021;1032;1167;909;873;939;961;921;1000;993;1051;1069;1037;1157
Domžale;13278;12868;15611;17646;17763;20051;14576;14608;15082;15636;13879;19040;13482;13136;13028;13119;13979;14450;14764;16193
Dornava;536;571;637;779;579;775;600;647;766;482;526;528;625;546;672;663;645;638;914;929
Dravograd;2428;2870;2949;4050;4195;3435;3676;3411;3348;2264;2329;1998;2051;2081;2182;2315;2425;2215;2397;2418
Duplek;1666;1780;1979;1169;2221;1460;1499;1362;1638;1230;1574;1180;1356;1451;1437;1696;1874;1993;1938;2024
Gorenja vas - Poljane;1042;1078;1215;861;1179;1113;1152;1071;1489;1121;970;1041;1072;1058;1095;1142;1220;1300;1331;1353
Gorišnica;1073;1145;1274;1103;1085;863;1066;1007;1113;638;707;668;643;695;785;915;1020;1133;1207;1286
Gorje;-;-;-;-;-;1372;1202;1180;1203;863;687;620;614;649;647;667;740;781;888;824
Gornja Radgona;3616;5369;3558;5472;5957;5924;4285;4125;3358;2837;2585;2785;2876;3093;3110;3005;2611;2409;2518;3460
Gornji Grad;701;679;513;489;570;587;561;546;598;676;689;682;565;515;559;650;631;595;628;669
Gornji Petrovci;240;343;332;349;355;337;349;317;298;265;241;278;284;274;310;306;320;349;357;393
Grad;196;316;306;321;327;310;321;301;339;317;323;357;334;352;376;403;431;438;448;460
Grosuplje;5751;5869;7627;7550;6721;7633;7302;7452;7601;7201;6698;6432;6242;6229;6323;6273;7014;7293;7558;7399
Hajdina;1050;1120;1229;856;962;981;952;734;792;685;680;706;806;867;981;1007;1123;1264;1375;1446
Hoèe - Slivnica;3207;3230;2994;3468;4230;5047;4633;5606;3460;3392;4455;3973;3777;3677;4277;3678;3815;3189;3715;4001
Hodoš;44;79;77;81;82;78;81;63;75;66;71;66;72;62;79;85;100;109;112;104
Horjul;833;824;900;915;1121;1114;1238;1221;923;872;762;617;658;669;629;691;729;733;710;774
Hrastnik;3857;2672;4403;4427;4325;3958;3784;3814;3659;3244;3078;2990;3139;3005;2876;2902;3039;2873;2993;3101
Hrpelje - Kozina;1404;1611;1764;1528;1462;1756;1808;1770;1663;1446;1304;1274;1432;1401;1452;1550;1762;1711;1495;1556
Idrija;4465;4510;4787;4978;5069;4918;5102;4737;4203;3912;3649;3522;3397;3351;4108;3952;4237;3501;4025;3812
Ig;1827;2161;2035;1980;2416;2401;2557;2577;2520;2228;2043;1401;1611;1790;1656;1735;1967;1953;2156;2159
Ilirska Bistrica;4036;4633;5884;5261;5257;5389;5574;4989;4971;4809;4227;4286;4825;4158;3524;3487;4245;3839;3840;4146
Ivanèna Gorica;3952;4225;4474;4759;4386;5180;5162;5075;5597;4910;4440;4260;4228;3840;3848;4034;4513;4312;5060;4772
Izola;8253;8012;7624;7713;7938;7343;7463;7609;8566;7140;6910;6610;8228;4938;7982;7944;8047;8230;8112;8101
Jesenice;7610;7397;1551;7525;8351;8229;8240;8385;9658;8362;8410;7755;7688;7488;7038;7684;7315;7670;11912;8904
Jezersko;69;330;204;370;233;294;189;260;227;129;129;103;194;228;359;222;229;201;150;207
Juršinci;360;369;410;511;388;482;394;444;470;279;321;501;344;349;347;406;477;560;591;533
Kamnik;9601;9125;10523;10630;10993;11514;13004;12280;11308;12786;14174;11933;11127;10808;11293;11640;12262;11496;12041;11958
Kanal ob Soèi;2005;1810;2146;2097;2398;2198;2266;2443;2448;2067;2175;1907;1637;1517;1732;1969;2020;1964;2176;2268
Kidrièevo;2050;2189;2480;2486;2392;1992;2237;2204;2370;2131;1700;1639;1891;2035;2137;2072;2246;2549;2077;2402
Kobarid;1684;1503;1645;1759;1795;2056;1830;1657;1557;1443;1307;1281;1308;1318;1339;1476;1521;1576;1493;1538
Kobilje;106;118;181;138;179;123;155;345;134;120;105;106;106;77;79;86;102;109;121;119
Koèevje;6628;6533;6231;6465;7192;6055;6654;5832;5343;4460;3997;4021;5034;5116;4730;4697;6010;5197;5012;5085
Komen;1404;1517;1661;1438;1097;975;1004;983;940;804;749;1104;804;788;878;802;844;820;1211;1206
Komenda;1501;1581;1615;1659;1889;2125;2117;2167;1644;2067;2380;2440;2419;2861;3175;3123;3369;3015;3149;2787
Koper;20624;21230;21089;23252;23111;25233;23458;22881;23683;21284;21603;21786;21154;19570;21472;22262;23280;23675;23430;23791
Kostanjevica na Krki;-;-;-;-;-;638;737;773;1102;796;752;930;969;881;830;832;726;716;616;651
Kostel;250;207;193;241;228;210;204;197;215;161;399;162;202;183;167;151;172;183;167;177
Kozje;1046;1063;1293;1177;1520;747;993;689;670;630;485;536;534;571;629;633;697;728;727;755
Kranj;26624;44034;27232;27553;29622;29803;29177;30631;19949;18338;18640;17085;19730;16699;28408;28161;31921;29568;19839;31058
Kranjska Gora;863;2909;2436;2704;2919;2836;2729;2813;2676;2584;2115;2146;2082;2214;2181;1913;2427;2387;2422;2482
Križevci;1006;1127;1294;1263;1300;1265;1173;917;964;835;778;758;788;820;930;979;1058;1067;1126;1141
Krško;8628;10494;10016;12871;14370;15822;11792;12854;12461;13218;10024;10703;10720;10385;10420;10816;9728;10422;10527;11007
Kungota;970;1481;1198;1503;1600;1591;1750;1881;1661;1512;1304;1299;1220;1213;1403;1396;1524;1548;1523;1547
Kuzma;131;139;135;142;145;137;142;214;234;217;228;226;233;226;242;253;271;265;335;370
Laško;3932;4423;4454;3793;4494;5245;5813;4215;3761;5176;3760;2613;3174;3389;3448;3687;3743;3914;3703;3684
