,OBÈINE,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,SLOVENIJA,2.022.629,2.042.335,2.049.261,2.052.496,2.056.262,2.059.114,2.061.623,2.063.077,2.064.241,2.066.161,2.070.050,2.089.310,2.100.126,2.107.007,2.108.732
1,Ajdovšèina,18.600,18.822,18.850,18.938,19.016,19.024,18.892,19.007,19.061,19.174,19.154,19.364,19.671,19.741,19.693
2,Ankaran/Ancarano,-,-,-,-,-,-,-,3.237,3.227,3.205,3.216,3.215,3.253,3.249,3.288
3,Apaèe,3.631,3.618,3.624,3.620,3.605,3.619,3.605,3.580,3.564,3.558,3.510,3.532,3.541,3.556,3.551
4,Beltinci,8.346,8.382,8.349,8.323,8.352,8.343,8.329,8.267,8.258,8.257,8.159,8.098,8.044,8.110,8.116
5,Benedikt,2.345,2.354,2.388,2.441,2.432,2.469,2.464,2.460,2.506,2.505,2.559,2.584,2.611,2.661,2.703
6,Bistrica ob Sotli,1.429,1.414,1.425,1.431,1.410,1.408,1.382,1.374,1.368,1.351,1.350,1.333,1.341,1.370,1.366
7,Bled,8.118,8.129,8.113,8.141,8.191,8.203,8.145,8.088,7.998,7.914,7.835,7.846,7.983,8.239,8.168
8,Bloke,1.601,1.563,1.572,1.580,1.590,1.582,1.559,1.518,1.541,1.529,1.529,1.567,1.603,1.590,1.587
9,Bohinj,5.214,5.263,5.260,5.223,5.202,5.197,5.176,5.152,5.127,5.138,5.103,5.118,5.360,5.771,5.511
10,Borovnica,3.900,3.941,3.982,3.995,3.992,4.065,4.211,4.277,4.295,4.408,4.421,4.547,4.625,4.636,4.619
11,Bovec,3.185,3.205,3.249,3.213,3.200,3.181,3.140,3.130,3.098,3.066,3.052,3.074,3.193,3.204,3.107
12,Braslovèe,5.190,5.190,5.270,5.352,5.417,5.429,5.438,5.470,5.528,5.567,5.528,5.584,5.640,5.669,5.725
13,Brda,5.662,5.686,5.757,5.747,5.763,5.751,5.705,5.659,5.664,5.624,5.613,5.632,5.613,5.641,5.622
14,Brezovica,10.431,10.716,10.985,11.246,11.531,11.693,11.827,11.920,12.017,12.126,12.323,12.527,12.771,12.818,12.785
15,Brežice,24.253,24.328,24.302,24.354,24.301,24.311,24.230,24.225,24.216,24.143,24.089,24.157,24.250,24.346,24.286
16,Cankova,1.936,1.907,1.897,1.899,1.896,1.881,1.845,1.831,1.792,1.784,1.748,1.724,1.746,1.759,1.755
17,Celje,48.569,48.993,48.776,48.556,48.682,48.773,48.883,48.901,49.221,49.376,49.538,49.602,49.069,48.847,48.777
18,Cerklje na Gorenjskem,6.803,6.925,7.084,7.122,7.229,7.317,7.356,7.406,7.532,7.585,7.608,7.712,7.796,7.875,7.882
19,Cerknica,11.006,11.127,11.192,11.310,11.350,11.316,11.348,11.419,11.469,11.519,11.502,11.625,11.668,11.681,11.683
20,Cerkno,4.819,4.776,4.788,4.784,4.799,4.792,4.702,4.669,4.620,4.592,4.584,4.577,4.588,4.542,4.539
21,Cerkvenjak,2.060,2.037,2.051,2.005,2.030,2.000,2.032,2.053,2.043,2.069,2.048,2.080,2.170,2.135,2.213
22,Cirkulane,2.278,2.296,2.293,2.294,2.298,2.303,2.336,2.312,2.301,2.331,2.348,2.362,2.374,2.377,2.340
23,Èrenšovci,4.213,4.166,4.174,4.148,4.109,4.022,4.030,3.989,3.980,3.953,3.958,3.958,3.995,3.984,3.950
24,Èrna na Koroškem,3.690,3.643,3.586,3.541,3.502,3.461,3.378,3.342,3.324,3.319,3.301,3.281,3.271,3.219,3.201
25,Èrnomelj,14.715,14.694,14.728,14.750,14.689,14.659,14.586,14.523,14.400,14.310,14.293,14.307,14.318,14.337,14.207
26,Destrnik,2.671,2.691,2.638,2.647,2.600,2.615,2.580,2.561,2.548,2.538,2.583,2.617,2.640,2.650,2.635
27,Divaèa,3.840,3.857,3.900,3.889,3.907,3.944,3.955,3.931,3.989,4.067,4.093,4.195,4.255,4.324,4.405
28,Dobje,959,954,967,973,971,971,980,980,987,966,962,965,942,948,950
29,Dobrepolje,3.763,3.828,3.882,3.927,3.958,3.942,3.934,3.915,3.897,3.891,3.847,3.838,3.894,3.883,3.891
30,Dobrna,2.160,2.164,2.207,2.187,2.187,2.194,2.195,2.188,2.230,2.219,2.221,2.240,2.241,2.266,2.307
