,Obèina,Km2,Prebivalci,Preb/km2,Naselja,Leto,Pokrajina,Statistièna regija,Odcepitev od komune / obèine
0,Ajdovšèina,2452,19.418,79,45,1994,Primorska,Goriška,Ajdovšèina
1,Ankaran,80,3.224,403,1,2011,Primorska,Obalno-kraška,Koper
2,Apaèe,535,3.533,66,21,2006,Štajerska,Pomurska,Gornja Radgona
3,Beltinci,622,8.059,130,8,1994,Prekmurje,Pomurska,Murska Sobota
4,Benedikt,241,2.615,108,14,1998,Štajerska,Podravska,Lenart
5,Bistrica ob Sotli,311,1.336,43,11,1998,Štajerska,Posavska,Podèetrtek
6,Bled,723,7.868,109,10,1994,Gorenjska,Gorenjska,Radovljica
7,Bloke,751,1.563,21,45,1998,Notranjska,Primorsko-notranjska,Loška dolina
8,Bohinj,3337,5.145,15,24,1994,Gorenjska,Gorenjska,Radovljica
9,Borovnica,423,4.579,108,12,1994,Notranjska,Osrednjeslovenska,Vrhnika
10,Bovec,3673,3.073,8,14,1994,Primorska,Goriška,Tolmin
11,Braslovèe,548,5.629,103,22,1998,Štajerska,Savinjska,Žalec
12,Brda,72,5.619,78,45,1994,Primorska,Goriška,Nova Gorica
13,Brezovica,911,12.671,139,16,1994,Notranjska,Osrednjeslovenska,Ljubljana Viè - Rudnik
14,Brežice,2681,24.051,90,109,1994,Štajerska,Posavska,Brežice
15,Cankova,306,1.734,57,8,1998,Prekmurje,Pomurska,Cankova - Tišina
16,Celje,949,49.54,522,39,1994,Štajerska,Savinjska,Celje
17,Cerklje na Gorenjskem,78,7.769,100,30,1994,Gorenjska,Gorenjska,Kranj
18,Cerknica,2413,11.58,48,64,1994,Notranjska,Primorsko-notranjska,Cerknica
19,Cerkno,1316,4.547,35,30,1994,Primorska,Goriška,Idrija
20,Cerkvenjak,23,2.083,91,15,1998,Štajerska,Podravska,Lenart
21,Cirkulane,321,2.345,73,13,2006,Štajerska,Podravska,Gorišnica
22,Èrenšovci,336,3.968,118,6,1994,Prekmurje,Pomurska,Lendava
23,Èrna na Koroškem,1559,3.285,21,9,1994,Koroška,Koroška,Ravne na Koroškem
24,Èrnomelj,3397,14.241,42,118,1994,Dolenjska,Jugovzhodna,Èrnomelj
25,Destrnik,343,2.643,77,17,1994,Štajerska,Podravska,Ptuj
26,Divaèa,1477,4.213,29,31,1994,Primorska,Obalno-kraška,Sežana
27,Dobje,174,949.0,55,13,1998,Štajerska,Savinjska,Šentjur
28,Dobrepolje,1031,3.878,38,24,1994,Dolenjska,Osrednjeslovenska,Grosuplje
29,Dobrna,316,2.234,71,11,1998,Štajerska,Savinjska,Vojnik
30,Dobrova - Polhov Gradec,1175,7.8,66,33,1994,Gorenjska,Osrednjeslovenska,Ljubljana Viè - Rudnik
31,Dobrovnik,311,1.281,41,3,1998,Prekmurje,Pomurska,Lendava
32,Dol pri Ljubljani,332,6.31,190,19,1994,Gorenjska,Osrednjeslovenska,"LJ Bežigrad, LJ Moste - Polje"
33,Dolenjske Toplice,1102,3.553,32,29,1998,Dolenjska,Jugovzhodna,Novo mesto
34,Domžale,722,36.675,508,51,1994,Gorenjska,Osrednjeslovenska,Domžale
35,Dornava,284,2.902,102,12,1994,Štajerska,Podravska,Ptuj
36,Dravograd,105,8.884,85,24,1994,Koroška,Koroška,Dravograd
37,Duplek,40,6.996,175,10,1994,Štajerska,Podravska,Maribor
38,Gorenja vas - Poljane,1532,7.557,49,73,1994,Gorenjska,Gorenjska,Škofja Loka
39,Gorišnica,29,4.112,65,11,1994,Štajerska,Podravska,Ptuj
40,Gorje,1193,2.738,23,12,2006,Gorenjska,Gorenjska,Bled
41,Gornja Radgona,746,8.417,113,30,1994,Štajerska,Pomurska,Gornja Radgona
42,Gornji Grad,901,2.474,27,7,1994,Štajerska,Savinjska,Mozirje
43,Gornji Petrovci,668,1.995,30,14,1994,Prekmurje,Pomurska,Murska Sobota
44,Grad,374,2.042,55,7,1998,Prekmurje,Pomurska,Kuzma
45,Grosuplje,1337,21.314,159,66,1994,Dolenjska,Osrednjeslovenska,Grosuplje
46,Hajdina,216,3.879,180,7,1998,Štajerska,Podravska,Ptuj
